,kms_driven,owner,mileage,power,brand,engine,age,city,city_tier,price
5784,23000.0,1,35.0,19.8,Royal,350,6,Bangalore,1,120000.0
5785,6900.0,1,35.0,25.1,KTM,200,5,Thane,3,170000.0
5786,20000.0,1,45.0,17.0,Bajaj,180,9,Delhi,1,32000.0
5787,7054.0,1,50.0,14.3,Bajaj,,6,Hyderabad,1,69999.0
5788,36000.0,1,,,Hero,125,10,Meerut,2,22200.0
5789,,1,35.0,24.16,Bajaj,,7,Bangalore,1,90000.0
5790,32200.0,1,30.0,19.8,Royal,350,15,Zirakpur,3,72000.0
5791,3000.0,1,25.0,42.9,KTM,390,5,Zirakpur,3,200000.0
5792,6500.0,2,22.0,41.4,Yamaha,320,6,Goa-panaji,3,250000.0
5793,59000.0,2,30.0,19.8,Royal,350,13,Gautam buddha nagar,3,60000.0
5794,9400.0,1,32.0,27.2,Royal,500,6,Barnala,3,115000.0
5795,3000.0,1,35.0,19.0,Bajaj,,5,Chennai,1,85000.0
5796,11950.0,1,22.0,33.0,TVS,,4,Mumbai,1,195000.0
5797,,1,42.0,23.2,Bajaj,,4,Navi mumbai,3,95000.0
5798,8827.0,1,32.0,27.2,Royal,500,6,Pune,1,120000.0
5799,4100.0,1,40.0,14.6,Suzuki,150,4,Hyderabad,1,87000.0
5800,,1,70.0,,Bajaj,,7,Delhi,1,25000.0
5801,4587.0,1,,19.8,Royal,350,5,Noida,3,100000.0
5802,30000.0,1,35.0,19.8,Royal,350,6,Chennai,1,100000.0
5803,10741.0,1,20.0,47.0,Harley-Davidson,,6,Pune,1,400000.0
5804,9300.0,1,35.0,24.8,UM,,4,Bangalore,1,150000.0
5805,60000.0,1,55.0,7.5,Hero,100,18,Tiruvallur,3,18000.0
5806,,2,60.0,14.0,Honda,150,9,Noida,3,30000.0
5807,,1,40.0,20.7,TVS,,5,Noida,3,70000.0
5808,6500.0,1,35.0,19.8,Royal,350,6,Delhi,1,108000.0
5809,40000.0,1,30.0,19.8,Royal,350,13,Ghaziabad,2,55000.0
5810,12000.0,1,55.0,12.0,Yamaha,150,6,Vadodara,2,44000.0
5811,,1,40.0,20.23,TVS,,4,Delhi,1,95000.0
5812,35000.0,1,35.0,19.0,Bajaj,,6,Hosur,3,65000.0
5813,,1,82.0,8.2,Bajaj,125,11,Vadodara,2,27000.0
5814,3505.0,1,39.4,18.1,Hero,,4,Jaipur,2,85000.0
5815,,1,45.0,17.3,TVS,180,4,Ahmedabad,1,70000.0
5816,,1,45.0,17.2,TVS,180,5,Bangalore,1,60000.0
5817,11000.0,1,40.0,19.8,Royal,350,6,Noida,3,110000.0
5818,,1,58.0,13.0,Yamaha,150,4,Fatehabad,3,77000.0
5819,25000.0,2,32.0,27.2,Royal,500,11,Navi mumbai,3,150000.0
5820,40000.0,1,30.0,19.8,Royal,350,14,Thane,3,55000.0
5821,60000.0,1,35.0,19.8,Royal,350,9,Kolkata,1,100000.0
5822,,1,42.0,23.2,Bajaj,,4,Thane,3,88000.0
5823,2000.0,1,,27.0,Jawa,,3,Ghaziabad,2,155000.0
5824,46316.0,2,64.0,13.0,Bajaj,,9,Jodhpur,2,27000.0
5825,19220.0,2,38.0,21.0,Bajaj,,5,Bangalore,1,78000.0
5826,33000.0,1,53.0,16.8,Bajaj,,7,Gurgaon,3,52000.0
5827,,2,42.0,23.2,Bajaj,,7,Surat,2,39400.0
5828,19200.0,2,40.0,19.0,Bajaj,220,7,Bangalore,1,55000.0
5829,,1,42.0,23.2,Bajaj,,6,Pune,1,52800.0
5830,65000.0,2,65.0,,Bajaj,,9,Dankaur,3,28000.0
5831,15000.0,1,45.0,15.3,Bajaj,,4,Delhi,1,69000.0
5832,,1,58.0,13.0,Yamaha,150,5,Unnao,3,65000.0
5833,15000.0,1,32.0,27.2,Royal,500,10,Herbertpur,3,150000.0
5834,31000.0,1,38.0,21.0,Bajaj,220,6,Bangalore,1,70000.0
5835,32000.0,1,40.0,19.8,Royal,350,6,Vadodara,2,120000.0
5836,38385.0,1,75.0,9.0,Hero,125,12,Surat,2,30000.0
5837,18000.0,1,35.0,19.8,Royal,350,6,Alibag,3,120000.0
5838,22000.0,1,40.0,19.8,Royal,350,6,Mumbai,1,120000.0
5839,26000.0,1,38.0,18.28,Honda,150,9,Godhara,3,70000.0
5840,,1,58.0,13.0,Yamaha,150,13,Pune,1,40000.0
5841,8700.0,1,32.0,24.5,Royal,410,5,Murad nagar,3,131000.0
5842,9000.0,2,40.0,19.8,Royal,350,5,Surat,2,120000.0
5843,17000.0,1,35.0,19.0,Bajaj,,6,Noida,3,70000.0
5844,13000.0,1,25.0,27.2,Royal,500,6,Aquem,3,129000.0
5845,,1,65.0,15.0,Bajaj,150,3,Avadi,3,73000.0
5846,8564.0,1,57.0,11.8,Bajaj,150,5,Delhi,1,45000.0
5847,17000.0,1,40.0,19.0,Bajaj,220,5,Hazaribagh,3,70000.0
5848,41000.0,2,30.0,19.8,Royal,350,15,Delhi,1,85000.0
